Role,Business_Type,City_Tier,Revenue,Purchase_Frequency,Packaging_Types,Decision_Method,Data_Tracked,Dashboard_Comfort,Challenges,Issue_Frequency,Monthly_Loss,Failure_Rate,Preferences,Priority,Triggers,Packaging_Spend,Packaging_Cost_Percent,Cost_Sensitivity,Decision_Maker,Features_Needed,Willingness_to_Pay,Interest
Procurement,FMCG,Tier2,5L-20L,Monthly,"Biodegradable, Plastic",No Process,"Cost, Inventory, Failures",Medium,"Breakage, Wastage, Supplier Issues",Daily,1L+,Medium,"Paper, Plastic, Biodegradable",Cost,"Cost Increase, Regulation",10K-50K,5-10%,Medium,Operations,Forecasting,Likely,No
Owner,FMCG,Tier2,5L-20L,Bulk,Plastic,Excel,"Cost, Failures, Supplier",High,Storage,Daily,20K-1L,Medium,"Paper, Plastic",Branding,Regulation,10K-50K,<5%,High,Operations,"Performance, Supplier Analytics",Likely,Yes
Owner,FMCG,Tier2,<5L,Daily,"Plastic, Paper, Biodegradable",No Process,Cost,High,"Wastage, Supplier Issues, Sustainability",Daily,20K-1L,High,"Recyclable, Plastic, Premium",Sustainability,"Cost Increase, Sustainability",<10K,20-30%,Low,Multiple,"Supplier Analytics, Sustainability",Very Likely,Yes
Operations,FMCG,Tier2,5L-20L,Bulk,Plastic,No Process,"Cost, Failures",Medium,Breakage,Monthly,<5K,Medium,"Biodegradable, Paper, Premium",Branding,"Supplier Issues, Sustainability",10K-50K,10-20%,Low,Finance,"Forecasting, Sustainability, Cost Dashboard",Not Sure,No
Procurement,Cloud Kitchen,Tier2,5L-20L,Monthly,"Glass, Plastic",Excel,,Medium,"Storage, Wastage, Breakage",Monthly,5K-20K,Low,Recyclable,Branding,Cost Increase,10K-50K,5-10%,High,Finance,"Performance, Forecasting, Cost Dashboard",Unlikely,Maybe
Owner,FMCG,Tier1,1Cr+,Daily,"Glass, Paper, Flexible",No Process,Cost,Medium,"Breakage, Wastage",Monthly,<5K,High,"Plastic, Paper",Quality,"Complaints, Supplier Issues",2L-10L,5-10%,Medium,Owner,"Cost Dashboard, Sustainability",Very Likely,Maybe
Finance,Cloud Kitchen,Tier1,<5L,Weekly,Biodegradable,Experience,"Failures, Inventory, Supplier",Medium,"Sustainability, Wastage, Breakage",Daily,1L+,High,"Paper, Recyclable, Plastic",Branding,Cost Increase,<10K,5-10%,High,Owner,Sustainability,Likely,Maybe
Procurement,Cloud Kitchen,Tier1,<5L,Weekly,Paper,ERP,"Failures, Cost",Medium,"Breakage, Sustainability",Weekly,20K-1L,Medium,Paper,Sustainability,"Regulation, Cost Increase",<10K,5-10%,High,Multiple,Supplier Analytics,Very Likely,Yes
Owner,Restaurant,Tier1,1Cr+,Bulk,Plastic,No Process,"Supplier, Inventory",High,"Breakage, Storage, Sustainability",Monthly,5K-20K,Medium,"Paper, Plastic",Cost,"Regulation, Cost Increase, Supplier Issues",2L-10L,20-30%,Medium,Owner,Performance,Very Likely,Yes
Owner,Restaurant,Tier2,1Cr+,Weekly,Biodegradable,Experience,Supplier,High,High Cost,Monthly,<5K,High,Paper,Branding,Complaints,10L+,30%+,Medium,Operations,"Forecasting, Cost Dashboard",Likely,No
Owner,Cloud Kitchen,Tier1,20L-1Cr,Bulk,"Flexible, Glass, Paper",Excel,,Medium,"High Cost, Breakage, Supplier Issues",Monthly,<5K,Medium,"Plastic, Recyclable",Branding,"Sustainability, Supplier Issues, Regulation",50K-2L,10-20%,High,Operations,"Supplier Analytics, Sustainability",Not Sure,No
Owner,Restaurant,Tier2,5L-20L,Bulk,Glass,Experience,"Supplier, Failures",Medium,"High Cost, Breakage, Sustainability",Daily,20K-1L,Medium,"Plastic, Premium, Biodegradable",Quality,Supplier Issues,10K-50K,20-30%,Medium,Multiple,"Forecasting, Cost Dashboard, Performance",Likely,Maybe
Operations,FMCG,Tier3,5L-20L,Weekly,"Flexible, Paper, Glass",Vendor,"Failures, Supplier",Medium,"Supplier Issues, Wastage",Rare,<5K,High,Biodegradable,Branding,"Sustainability, Regulation",10K-50K,10-20%,High,Owner,"Forecasting, Cost Dashboard, Sustainability",Not Sure,No
Procurement,Cloud Kitchen,Tier1,1Cr+,Monthly,"Plastic, Flexible",ERP,Failures,Medium,"High Cost, Sustainability",Daily,20K-1L,Medium,"Paper, Biodegradable",Cost,"Complaints, Cost Increase, Regulation",10L+,10-20%,Low,Operations,Forecasting,Likely,Maybe
Operations,Manufacturer,Tier2,<5L,Daily,"Biodegradable, Plastic",ERP,Cost,Medium,"Sustainability, Breakage, Wastage",Weekly,5K-20K,Medium,Plastic,Cost,Supplier Issues,<10K,20-30%,High,Operations,"Cost Dashboard, Sustainability",Not Sure,Maybe
Procurement,FMCG,Tier1,5L-20L,Daily,"Plastic, Flexible, Paper",Excel,Supplier,High,"Sustainability, High Cost, Supplier Issues",Weekly,5K-20K,,"Recyclable, Plastic, Biodegradable",Branding,"Regulation, Sustainability",10K-50K,<5%,High,Multiple,"Performance, Forecasting, Supplier Analytics",Likely,No
Owner,Restaurant,Tier3,20L-1Cr,Weekly,"Glass, Plastic, Biodegradable",Excel,,Low,Breakage,Rare,<5K,High,Paper,Cost,Regulation,50K-2L,10-20%,Low,Multiple,"Forecasting, Cost Dashboard",Not Sure,Maybe
Owner,Restaurant,Tier1,20L-1Cr,Monthly,"Glass, Paper, Flexible",Excel,,Medium,"Wastage, High Cost",Daily,1L+,High,Plastic,Branding,"Complaints, Sustainability",2L-10L,10-20%,Low,Multiple,"Cost Dashboard, Supplier Analytics, Performance",Likely,Maybe
Procurement,Manufacturer,Tier1,1Cr+,Bulk,"Biodegradable, Paper, Plastic",No Process,"Failures, Supplier, Inventory",Medium,Sustainability,Weekly,20K-1L,,"Paper, Biodegradable, Recyclable",Branding,"Sustainability, Supplier Issues, Cost Increase",2L-10L,5-10%,Medium,Finance,"Performance, Cost Dashboard, Supplier Analytics",Likely,No
Owner,Cloud Kitchen,Tier1,5L-20L,Bulk,"Biodegradable, Glass, Plastic",Experience,"Supplier, Cost",Medium,High Cost,Daily,1L+,High,"Plastic, Recyclable, Paper",Cost,Supplier Issues,50K-2L,<5%,High,Operations,"Supplier Analytics, Sustainability",Very Likely,Maybe
Procurement,Manufacturer,Tier1,20L-1Cr,Monthly,"Flexible, Paper",Excel,,Medium,"High Cost, Wastage",Daily,1L+,Medium,Premium,Quality,"Supplier Issues, Sustainability",2L-10L,20-30%,High,Multiple,"Supplier Analytics, Performance",Very Likely,Yes
Procurement,Cloud Kitchen,Tier1,<5L,Monthly,"Plastic, Flexible, Glass",Experience,"Failures, Supplier, Inventory",High,"Sustainability, Storage, Breakage",Weekly,5K-20K,Medium,"Biodegradable, Paper, Recyclable",Sustainability,"Regulation, Supplier Issues, Sustainability",<10K,20-30%,High,Owner,"Performance, Supplier Analytics",Not Sure,Maybe
Operations,FMCG,Tier3,20L-1Cr,Bulk,"Plastic, Biodegradable, Flexible",Vendor,Cost,Medium,"Sustainability, High Cost",Daily,1L+,Low,Recyclable,Cost,Cost Increase,2L-10L,<5%,Medium,Operations,"Sustainability, Forecasting, Cost Dashboard",Very Likely,Yes
Procurement,FMCG,Tier3,<5L,Weekly,"Biodegradable, Glass, Plastic",ERP,"Failures, Cost",Medium,"Breakage, High Cost",Monthly,5K-20K,Low,Premium,Branding,Cost Increase,<10K,20-30%,Medium,Operations,Sustainability,Not Sure,Maybe
Procurement,FMCG,Tier1,5L-20L,Monthly,"Plastic, Biodegradable, Paper",Vendor,"Failures, Inventory, Supplier",Medium,"Supplier Issues, Sustainability",Monthly,<5K,Medium,Paper,Sustainability,"Complaints, Cost Increase, Sustainability",50K-2L,5-10%,Medium,Finance,"Sustainability, Cost Dashboard, Forecasting",Not Sure,No
Operations,Supplier,Tier1,20L-1Cr,Daily,Flexible,Excel,"Inventory, Cost, Supplier",Medium,"High Cost, Wastage, Breakage",Weekly,5K-20K,Medium,Recyclable,Branding,Cost Increase,2L-10L,20-30%,High,Multiple,"Supplier Analytics, Cost Dashboard",Very Likely,Maybe
Owner,Restaurant,Tier3,<5L,Bulk,"Biodegradable, Paper, Flexible",ERP,"Cost, Failures",High,"Breakage, Sustainability",Rare,5K-20K,,Premium,Sustainability,Sustainability,<10K,30%+,High,Owner,Sustainability,Likely,No
Operations,FMCG,Tier1,5L-20L,Weekly,Flexible,ERP,"Cost, Failures",Medium,"Wastage, Supplier Issues",Monthly,5K-20K,Medium,Recyclable,Quality,"Complaints, Regulation",10K-50K,10-20%,High,Multiple,"Cost Dashboard, Performance",Not Sure,Maybe
Operations,Restaurant,Tier2,20L-1Cr,Bulk,"Paper, Glass",Excel,"Supplier, Failures, Inventory",High,"Supplier Issues, Sustainability",Weekly,5K-20K,Low,"Biodegradable, Plastic, Premium",Sustainability,"Complaints, Supplier Issues, Regulation",2L-10L,10-20%,High,Owner,Supplier Analytics,Very Likely,Yes
Procurement,Cloud Kitchen,Tier2,5L-20L,Daily,"Plastic, Glass",Experience,,Low,Breakage,Monthly,<5K,Medium,"Plastic, Biodegradable, Premium",Branding,"Complaints, Cost Increase",10K-50K,10-20%,High,Owner,"Sustainability, Forecasting",Not Sure,No
Operations,Restaurant,Tier1,20L-1Cr,Bulk,"Glass, Paper, Flexible",No Process,"Failures, Cost, Inventory",Medium,Breakage,Monthly,<5K,High,Premium,Branding,Complaints,2L-10L,10-20%,Low,Owner,Cost Dashboard,Likely,No
Owner,Supplier,Tier1,5L-20L,Monthly,Paper,ERP,Failures,High,"Breakage, Storage",Monthly,<5K,Medium,Paper,Branding,"Regulation, Sustainability, Complaints",50K-2L,5-10%,Medium,Owner,Cost Dashboard,Not Sure,No
Operations,Supplier,Tier1,<5L,Weekly,"Biodegradable, Paper",ERP,Inventory,High,Storage,Weekly,5K-20K,Medium,"Plastic, Premium, Paper",Branding,"Complaints, Supplier Issues, Sustainability",<10K,<5%,High,Multiple,Sustainability,Unlikely,No
Owner,Restaurant,Tier1,5L-20L,Bulk,Glass,Experience,"Supplier, Failures",Medium,"Wastage, Sustainability",Daily,20K-1L,Medium,"Paper, Premium",Sustainability,"Cost Increase, Complaints",10K-50K,5-10%,High,Finance,"Forecasting, Performance, Supplier Analytics",Very Likely,Yes
Owner,Supplier,Tier1,<5L,Monthly,Flexible,Excel,"Inventory, Failures",High,"Storage, Supplier Issues, Sustainability",Weekly,20K-1L,High,"Biodegradable, Premium, Recyclable",Quality,Cost Increase,<10K,5-10%,Medium,Owner,"Forecasting, Sustainability",Likely,No
Procurement,Restaurant,Tier1,20L-1Cr,Bulk,"Glass, Paper",Experience,,Low,"Breakage, Storage, Sustainability",Weekly,5K-20K,High,Plastic,Sustainability,Sustainability,50K-2L,20-30%,Medium,Finance,Sustainability,Not Sure,No
Owner,Cloud Kitchen,Tier3,20L-1Cr,Monthly,"Glass, Flexible, Paper",Vendor,Cost,High,"High Cost, Wastage",Monthly,5K-20K,Medium,Recyclable,Quality,Complaints,50K-2L,10-20%,Medium,Multiple,Performance,Not Sure,No
Owner,Cloud Kitchen,Tier1,<5L,Weekly,"Flexible, Paper",No Process,"Supplier, Inventory, Failures",Medium,"Supplier Issues, High Cost, Breakage",Monthly,<5K,High,"Recyclable, Plastic, Biodegradable",Branding,Cost Increase,<10K,5-10%,Medium,Operations,Supplier Analytics,Unlikely,Maybe
Owner,Cloud Kitchen,Tier3,20L-1Cr,Bulk,Plastic,Vendor,Cost,High,Sustainability,Monthly,<5K,Medium,Paper,Quality,"Sustainability, Cost Increase",50K-2L,5-10%,High,Multiple,"Performance, Supplier Analytics",Likely,Maybe
Finance,Cloud Kitchen,Tier1,<5L,Weekly,"Biodegradable, Glass, Paper",Experience,"Inventory, Supplier",Medium,Wastage,Monthly,<5K,Medium,"Plastic, Premium",Cost,"Cost Increase, Supplier Issues, Regulation",<10K,20-30%,Low,Multiple,Forecasting,Likely,Maybe
Owner,Manufacturer,Tier2,<5L,Monthly,"Plastic, Glass, Flexible",No Process,,Medium,"Supplier Issues, Sustainability",Weekly,5K-20K,Medium,"Paper, Biodegradable",Quality,Complaints,<10K,10-20%,Medium,Owner,Forecasting,Unlikely,No
Owner,Cloud Kitchen,Tier1,5L-20L,Daily,"Biodegradable, Flexible",Experience,Failures,Medium,"Breakage, Sustainability",Daily,20K-1L,High,"Recyclable, Premium, Plastic",Cost,Supplier Issues,50K-2L,30%+,Medium,Owner,"Forecasting, Performance",Very Likely,Yes
Operations,Restaurant,Tier2,1Cr+,Bulk,"Glass, Biodegradable",Experience,Cost,Medium,Breakage,Rare,5K-20K,Medium,"Biodegradable, Paper, Plastic",Branding,Cost Increase,2L-10L,5-10%,High,Finance,"Forecasting, Supplier Analytics",Likely,No
Operations,Restaurant,Tier2,20L-1Cr,Weekly,"Glass, Biodegradable",Vendor,"Cost, Failures",Medium,Breakage,Monthly,<5K,High,"Plastic, Premium",Sustainability,"Regulation, Sustainability",2L-10L,5-10%,Low,Operations,"Cost Dashboard, Forecasting, Sustainability",Very Likely,Maybe
Operations,Cloud Kitchen,Tier1,5L-20L,Weekly,"Flexible, Plastic, Biodegradable",ERP,"Failures, Cost, Supplier",Medium,"Breakage, Supplier Issues",Daily,20K-1L,Medium,"Premium, Plastic, Recyclable",Sustainability,"Complaints, Cost Increase",50K-2L,30%+,High,Owner,"Sustainability, Cost Dashboard, Forecasting",Very Likely,Yes
Owner,Restaurant,Tier2,5L-20L,Weekly,Glass,Experience,Failures,Medium,Storage,Daily,20K-1L,Medium,"Paper, Biodegradable, Premium",Cost,Complaints,10K-50K,5-10%,High,Multiple,Cost Dashboard,Very Likely,Yes
Procurement,Restaurant,Tier1,5L-20L,Daily,"Paper, Plastic",Experience,,Medium,"Wastage, Supplier Issues, Storage",Weekly,20K-1L,Low,"Recyclable, Biodegradable, Plastic",Quality,"Sustainability, Cost Increase, Supplier Issues",50K-2L,20-30%,High,Owner,Supplier Analytics,Very Likely,Yes
Procurement,Restaurant,Tier2,5L-20L,Daily,Biodegradable,ERP,"Supplier, Failures, Inventory",Medium,"Supplier Issues, Breakage, Wastage",Rare,<5K,Medium,Recyclable,Branding,Supplier Issues,10K-50K,20-30%,High,Owner,"Cost Dashboard, Forecasting, Sustainability",Likely,No
Finance,Cloud Kitchen,Tier2,<5L,Bulk,"Paper, Plastic, Flexible",Experience,Cost,High,Sustainability,Monthly,<5K,,"Premium, Recyclable, Plastic",Cost,Complaints,<10K,20-30%,Low,Operations,"Sustainability, Forecasting, Cost Dashboard",Likely,Maybe
Procurement,FMCG,Tier1,5L-20L,Bulk,"Flexible, Biodegradable",ERP,Supplier,High,Sustainability,Daily,1L+,Medium,Plastic,Quality,"Sustainability, Cost Increase, Regulation",10K-50K,20-30%,Low,Operations,Supplier Analytics,Very Likely,Yes
Finance,Cloud Kitchen,Tier1,1Cr+,Monthly,Glass,Experience,"Failures, Supplier, Inventory",Medium,"Storage, Sustainability, Supplier Issues",Daily,20K-1L,Low,Recyclable,Cost,"Supplier Issues, Cost Increase",2L-10L,5-10%,Medium,Finance,"Sustainability, Supplier Analytics",Likely,Maybe
Operations,Restaurant,Tier2,1Cr+,Monthly,"Plastic, Flexible, Biodegradable",ERP,Inventory,Medium,"Supplier Issues, Storage, Sustainability",Daily,1L+,,"Plastic, Recyclable, Paper",Quality,"Supplier Issues, Complaints",10L+,5-10%,Medium,Finance,"Sustainability, Cost Dashboard",Very Likely,Maybe
Operations,Restaurant,Tier2,20L-1Cr,Daily,"Flexible, Biodegradable, Paper",Vendor,Cost,Medium,"Wastage, Sustainability, Storage",Daily,1L+,Low,"Premium, Plastic",Quality,"Regulation, Sustainability",2L-10L,5-10%,High,Operations,"Forecasting, Supplier Analytics",Very Likely,Yes
Owner,Cloud Kitchen,Tier2,20L-1Cr,Monthly,"Flexible, Paper",Experience,Cost,Medium,"Breakage, Supplier Issues, Wastage",Daily,1L+,Medium,"Premium, Biodegradable",Sustainability,"Sustainability, Supplier Issues, Cost Increase",2L-10L,5-10%,Medium,Operations,"Performance, Sustainability",Likely,Maybe
Owner,Supplier,Tier2,5L-20L,Weekly,"Paper, Flexible, Biodegradable",Experience,"Supplier, Inventory, Cost",Medium,"Storage, Breakage, High Cost",Daily,1L+,Low,Biodegradable,Sustainability,Cost Increase,10K-50K,5-10%,Medium,Finance,Sustainability,Very Likely,Yes
Operations,Supplier,Tier2,<5L,Bulk,"Biodegradable, Flexible, Glass",Vendor,"Failures, Supplier",High,"Supplier Issues, Sustainability",Weekly,5K-20K,High,"Plastic, Recyclable, Paper",Sustainability,"Sustainability, Supplier Issues",<10K,<5%,Low,Multiple,"Supplier Analytics, Forecasting, Performance",Likely,Maybe
Operations,FMCG,Tier1,1Cr+,Bulk,Biodegradable,ERP,Failures,High,Wastage,Monthly,5K-20K,High,"Biodegradable, Paper",Quality,"Regulation, Sustainability",10L+,20-30%,High,Finance,Supplier Analytics,Very Likely,Yes
Owner,Manufacturer,Tier2,20L-1Cr,Weekly,"Glass, Paper, Biodegradable",Vendor,"Supplier, Inventory, Failures",High,"Storage, Wastage, Sustainability",Monthly,<5K,High,"Biodegradable, Premium",Branding,"Sustainability, Supplier Issues, Complaints",2L-10L,5-10%,Medium,Owner,"Forecasting, Supplier Analytics, Cost Dashboard",Very Likely,Yes
Procurement,Manufacturer,Tier2,1Cr+,Monthly,Plastic,Vendor,"Failures, Supplier",High,"Supplier Issues, Breakage, Storage",Daily,20K-1L,High,Plastic,Branding,"Complaints, Regulation, Cost Increase",10L+,5-10%,High,Multiple,"Performance, Forecasting, Cost Dashboard",Likely,Yes
Owner,Supplier,Tier1,20L-1Cr,Bulk,"Plastic, Biodegradable",No Process,"Supplier, Inventory, Failures",High,"Supplier Issues, Breakage",Weekly,20K-1L,High,"Paper, Biodegradable",Cost,"Sustainability, Supplier Issues",2L-10L,10-20%,Low,Multiple,"Sustainability, Forecasting",Very Likely,Yes
Procurement,Manufacturer,Tier2,5L-20L,Bulk,"Glass, Biodegradable, Plastic",Vendor,"Inventory, Cost",High,"High Cost, Wastage, Supplier Issues",Weekly,5K-20K,High,Paper,Cost,Supplier Issues,10K-50K,10-20%,Low,Multiple,"Sustainability, Cost Dashboard",Likely,No
Finance,Cloud Kitchen,Tier1,<5L,Weekly,"Plastic, Biodegradable",Experience,"Failures, Inventory",High,"Wastage, Sustainability",Weekly,5K-20K,Low,"Premium, Paper",Branding,"Complaints, Supplier Issues, Sustainability",<10K,10-20%,High,Finance,"Cost Dashboard, Supplier Analytics, Sustainability",Likely,Maybe
Procurement,Restaurant,Tier2,<5L,Monthly,"Plastic, Paper, Biodegradable",ERP,,Low,"Sustainability, High Cost",Daily,20K-1L,Medium,Recyclable,Sustainability,"Sustainability, Supplier Issues",<10K,20-30%,High,Multiple,Supplier Analytics,Very Likely,Yes
Owner,Cloud Kitchen,Tier2,<5L,Weekly,"Glass, Paper, Plastic",Excel,"Supplier, Inventory",Medium,Storage,Daily,1L+,,"Premium, Plastic, Recyclable",Sustainability,"Complaints, Supplier Issues",<10K,20-30%,High,Finance,"Cost Dashboard, Sustainability, Performance",Very Likely,Yes
Finance,Cloud Kitchen,Tier3,5L-20L,Weekly,"Paper, Glass, Biodegradable",Excel,,Medium,"Sustainability, Storage",Rare,<5K,Low,"Plastic, Recyclable",Cost,Complaints,50K-2L,5-10%,High,Finance,"Sustainability, Supplier Analytics",Likely,Maybe
Owner,Manufacturer,Tier3,5L-20L,Weekly,Paper,ERP,"Supplier, Failures, Cost",High,Supplier Issues,Daily,20K-1L,,"Paper, Premium, Recyclable",Quality,Complaints,10K-50K,5-10%,Low,Owner,"Performance, Supplier Analytics, Sustainability",Likely,Maybe
Procurement,Cloud Kitchen,Tier3,<5L,Bulk,Biodegradable,Excel,"Inventory, Failures, Supplier",Medium,"Sustainability, Supplier Issues",Weekly,5K-20K,Medium,Recyclable,Cost,"Supplier Issues, Complaints",<10K,5-10%,Low,Finance,Forecasting,Not Sure,No
Owner,Supplier,Tier1,5L-20L,Daily,"Biodegradable, Flexible, Plastic",No Process,"Supplier, Cost",High,Breakage,Monthly,<5K,High,"Premium, Paper, Plastic",Branding,Cost Increase,10K-50K,5-10%,High,Finance,"Forecasting, Supplier Analytics",Unlikely,Maybe
Procurement,Manufacturer,Tier3,5L-20L,Monthly,"Plastic, Paper",Vendor,,Medium,Sustainability,Daily,1L+,Low,"Plastic, Premium, Recyclable",Branding,"Sustainability, Cost Increase, Regulation",50K-2L,5-10%,High,Owner,"Performance, Cost Dashboard",Likely,Maybe
Procurement,Supplier,Tier2,1Cr+,Monthly,Biodegradable,ERP,,Medium,"High Cost, Supplier Issues, Sustainability",Monthly,<5K,High,"Paper, Biodegradable",Quality,"Complaints, Regulation, Sustainability",2L-10L,<5%,Medium,Finance,Forecasting,Very Likely,Yes
Operations,Restaurant,Tier1,<5L,Bulk,"Glass, Flexible, Plastic",Vendor,"Cost, Supplier",High,"Sustainability, High Cost, Storage",Weekly,20K-1L,Low,Biodegradable,Cost,"Cost Increase, Supplier Issues",<10K,5-10%,Medium,Owner,Sustainability,Likely,Maybe
Owner,Manufacturer,Tier1,5L-20L,Bulk,Glass,Excel,,Medium,Sustainability,Weekly,20K-1L,Medium,"Premium, Paper, Recyclable",Cost,"Supplier Issues, Complaints, Regulation",50K-2L,5-10%,High,Owner,"Supplier Analytics, Cost Dashboard",Very Likely,Yes
Procurement,Restaurant,Tier1,5L-20L,Monthly,"Biodegradable, Glass",Experience,,Low,Breakage,Monthly,<5K,,Plastic,Branding,"Cost Increase, Sustainability",10K-50K,20-30%,Low,Finance,"Cost Dashboard, Forecasting",Unlikely,No
Operations,Restaurant,Tier2,5L-20L,Monthly,"Biodegradable, Paper, Plastic",Excel,"Cost, Supplier",High,"Wastage, Storage",Weekly,5K-20K,,"Premium, Biodegradable, Plastic",Cost,"Cost Increase, Sustainability",50K-2L,30%+,Medium,Finance,"Sustainability, Supplier Analytics, Forecasting",Likely,No
Operations,Cloud Kitchen,Tier3,5L-20L,Bulk,"Glass, Flexible",No Process,,Medium,"High Cost, Wastage, Breakage",Monthly,5K-20K,Medium,"Paper, Premium",Branding,"Supplier Issues, Sustainability, Regulation",10K-50K,10-20%,Medium,Multiple,"Cost Dashboard, Supplier Analytics, Forecasting",Likely,No
Owner,Cloud Kitchen,Tier3,20L-1Cr,Daily,"Paper, Glass, Biodegradable",Excel,"Cost, Supplier",Medium,Wastage,Weekly,5K-20K,High,Premium,Cost,Cost Increase,2L-10L,30%+,Medium,Operations,"Cost Dashboard, Supplier Analytics, Performance",Very Likely,Maybe
Owner,FMCG,Tier1,<5L,Daily,"Glass, Plastic, Paper",Experience,,Medium,"Storage, High Cost",Rare,<5K,High,"Biodegradable, Plastic, Premium",Branding,Regulation,<10K,10-20%,Medium,Operations,"Supplier Analytics, Performance",Not Sure,Maybe
Operations,Restaurant,Tier3,<5L,Weekly,Biodegradable,Experience,,Medium,"Supplier Issues, Storage",Daily,20K-1L,High,"Plastic, Recyclable, Premium",Cost,"Sustainability, Cost Increase, Complaints",<10K,20-30%,High,Owner,Supplier Analytics,Very Likely,Yes
Operations,Cloud Kitchen,Tier1,5L-20L,Monthly,Biodegradable,Experience,,Medium,"Sustainability, High Cost",Weekly,5K-20K,Medium,"Premium, Plastic",Cost,Supplier Issues,50K-2L,5-10%,High,Finance,"Forecasting, Performance, Supplier Analytics",Not Sure,No
Finance,Restaurant,Tier2,20L-1Cr,Monthly,"Paper, Flexible, Glass",No Process,Failures,High,"Wastage, Sustainability",Weekly,20K-1L,Medium,"Recyclable, Premium",Sustainability,Sustainability,50K-2L,20-30%,Medium,Operations,Supplier Analytics,Very Likely,Maybe
Owner,Cloud Kitchen,Tier1,20L-1Cr,Weekly,"Plastic, Flexible",No Process,"Inventory, Supplier, Cost",Medium,Sustainability,Daily,1L+,High,Recyclable,Sustainability,"Supplier Issues, Complaints",2L-10L,20-30%,High,Operations,"Supplier Analytics, Cost Dashboard",Very Likely,Yes
Procurement,Manufacturer,Tier3,5L-20L,Bulk,Paper,ERP,"Failures, Inventory, Supplier",Medium,"Breakage, High Cost",Daily,20K-1L,,Plastic,Branding,"Regulation, Complaints, Cost Increase",10K-50K,10-20%,High,Multiple,Forecasting,Very Likely,Yes
Operations,Cloud Kitchen,Tier1,5L-20L,Monthly,"Plastic, Paper",Excel,"Failures, Cost",High,"Sustainability, Breakage",Weekly,20K-1L,,Plastic,Quality,"Regulation, Sustainability, Supplier Issues",10K-50K,5-10%,High,Owner,"Sustainability, Cost Dashboard",Likely,Yes
Finance,Restaurant,Tier2,<5L,Monthly,"Paper, Plastic",Excel,Inventory,High,"Sustainability, Wastage, Breakage",Monthly,<5K,Low,"Recyclable, Premium",Quality,Cost Increase,<10K,5-10%,Medium,Operations,Cost Dashboard,Likely,No
Owner,Cloud Kitchen,Tier1,<5L,Daily,"Biodegradable, Paper, Glass",Experience,"Supplier, Failures",Medium,"High Cost, Breakage",Rare,<5K,Low,"Premium, Paper",Quality,Sustainability,<10K,10-20%,Low,Owner,Cost Dashboard,Not Sure,Maybe
Procurement,Cloud Kitchen,Tier3,<5L,Weekly,"Flexible, Glass, Plastic",ERP,"Inventory, Cost",Medium,"Supplier Issues, Storage",Monthly,<5K,Medium,Plastic,Branding,"Supplier Issues, Regulation",<10K,20-30%,Low,Owner,Performance,Not Sure,Maybe
Operations,Cloud Kitchen,Tier2,5L-20L,Monthly,Glass,Vendor,"Inventory, Cost",High,"Supplier Issues, Storage",Rare,5K-20K,High,Recyclable,Sustainability,"Cost Increase, Sustainability, Supplier Issues",10K-50K,<5%,High,Multiple,Cost Dashboard,Likely,No
Procurement,Cloud Kitchen,Tier1,5L-20L,Weekly,Glass,No Process,,Low,"Sustainability, Supplier Issues",Daily,1L+,Low,Paper,Quality,"Cost Increase, Sustainability",10K-50K,10-20%,Medium,Finance,Performance,Very Likely,Yes
Owner,Manufacturer,Tier2,5L-20L,Bulk,Biodegradable,ERP,Failures,Medium,"High Cost, Storage",Daily,1L+,Medium,"Plastic, Paper",Branding,Complaints,10K-50K,<5%,High,Operations,"Supplier Analytics, Cost Dashboard",Likely,Yes
Finance,Cloud Kitchen,Tier3,5L-20L,Daily,Plastic,Excel,"Cost, Inventory",High,"Supplier Issues, Sustainability, Storage",Weekly,20K-1L,Low,Plastic,Cost,"Supplier Issues, Cost Increase",10K-50K,<5%,High,Operations,Cost Dashboard,Likely,Yes
Procurement,Cloud Kitchen,Tier1,<5L,Bulk,Plastic,Experience,"Cost, Inventory, Supplier",Medium,"Wastage, High Cost",Weekly,5K-20K,Medium,Biodegradable,Cost,"Complaints, Regulation, Cost Increase",<10K,10-20%,Medium,Multiple,"Performance, Supplier Analytics, Sustainability",Not Sure,No
Owner,Restaurant,Tier1,20L-1Cr,Weekly,"Flexible, Biodegradable, Plastic",Excel,,Medium,Sustainability,Daily,20K-1L,High,"Plastic, Paper",Sustainability,Regulation,50K-2L,10-20%,High,Finance,"Performance, Forecasting",Likely,Yes
Procurement,Cloud Kitchen,Tier1,5L-20L,Daily,"Glass, Paper, Plastic",No Process,,Medium,"Supplier Issues, Sustainability, Wastage",Weekly,20K-1L,High,Biodegradable,Quality,Supplier Issues,50K-2L,10-20%,Low,Operations,Performance,Very Likely,Yes
Owner,Restaurant,Tier1,20L-1Cr,Bulk,"Flexible, Biodegradable, Plastic",No Process,Failures,High,"Supplier Issues, Breakage",Monthly,<5K,Medium,"Recyclable, Paper, Premium",Cost,"Supplier Issues, Cost Increase, Regulation",50K-2L,<5%,High,Multiple,"Supplier Analytics, Sustainability, Cost Dashboard",Likely,Maybe
Owner,Restaurant,Tier1,20L-1Cr,Monthly,Flexible,Excel,,Medium,Storage,Daily,20K-1L,High,Plastic,Branding,"Supplier Issues, Complaints, Sustainability",50K-2L,20-30%,Medium,Operations,"Performance, Forecasting",Very Likely,Yes
